num	date	type	state	work_time	oil_weight	water_weight	liquid_weight	income_volume	water_percent	oil_income	liquid_income	state_end	date_start
101	12/1/2016	oil	1	744	186.44	241.84	428.28	0	56.5	Jul-83	15.0	1	42232.0
102	12/1/2016	water	1	744	0.0	0.0	0.0	2096	0.0			-1	
103	12/1/2016	oil	1	744	554.09	399.36	953.45	0	41.9	18.6528	32.0	1	42135.0
104	12/1/2016	oil	1	744	225.65	351.29	576.94	0	60.9	7.395	17.0	1	42124.0
105	12/1/2016	oil	1	744	953.7	284.71	1238.41	0	23.0	32.103	45.0	1	42111.0
107	12/1/2016	oil	1	744	701.56	205.1	906.66	0	22.6	23.9598	34.0	1	42100.0
109	12/1/2016	oil	1	744	185.9	110.22	296.11	0	37.2	5.481	9.0	1	42090.0
10РБС	12/1/2016	oil	1	744	1457.85	950.67	2408.53	0	39.5			-1	
110	12/1/2016	oil	1	744	564.79	1017.1	1581.89	0	64.3	21.315	49.0	1	42070.0
1167	12/1/2016	water	1	744	0.0	0.0	0.0	8238	0.0			-1	
1199ГС	12/1/2016	oil	1	744	15.96	340.7	356.66	0	95.5			-1	
1227	12/1/2016	oil	1	744	1186.98	670.27	1857.25	0	36.1	39.6198	66.0	1	42046.0
1228	12/1/2016	oil	1	744	844.62	295.15	1139.77	0	25.9	27.84	40.0	1	42142.0
1257ГС	12/1/2016	oil	1	744	1064.75	4011.72	5076.47	0	79.0			-1	
1258ГС	12/1/2016	oil	1	744	801.79	1860.9	2662.69	0	69.9			-1	
1287	12/1/2016	water	1	744	0.0	0.0	0.0	5760	0.0			-1	
1288	12/1/2016	water	1	744	0.0	0.0	0.0	9021	0.0			-1	
1289	12/1/2016	oil	1	744	298.11	209.66	507.77	0	41.3	Oct-46	17.0	1	41514.0
1290	12/1/2016	oil	1	744	828.89	303.69	1132.58	0	26.8	27.144	39.0	1	41506.0
12Р	12/1/2016	oil	0	0	0.0	0.0	0.0	0	0.0			-1	
1318ГС	12/1/2016	oil	1	744	884.29	2318.5	3202.8	0	72.4			-1	
1319ГС	12/1/2016	oil	1	744	1081.4	197.97	1279.37	0	15.5			-1	
1347	12/1/2016	oil	1	628	398.28	354.74	753.01	0	47.1	Nov-99	27.0	1	42155.0
1348	12/1/2016	oil	1	744	583.71	399.58	983.3	0	40.6	20.6712	36.0	1	42031.0
1349	12/1/2016	water	0	0	0.0	0.0	0.0	0	0.0			-1	
1350	12/1/2016	water	1	744	0.0	0.0	0.0	9341	0.0			-1	
1379	12/1/2016	oil	1	744	539.32	556.07	1095.39	0	50.8	19.836	38.0	1	41466.0
1380ГС	12/1/2016	oil	1	744	567.69	1050.86	1618.55	0	64.9			-1	
1381	12/1/2016	water	1	744	0.0	0.0	0.0	8283	0.0			-1	
13ПО	12/1/2016	oil	0	0	0.0	0.0	0.0	0	0.0			-1	
1408	12/1/2016	water	0	0	0.0	0.0	0.0	0	0.0			-1	
1409	12/1/2016	oil	1	744	509.03	253.25	762.28	0	33.2	16.2864	26.0	1	41523.0
1410	12/1/2016	water	0	0	0.0	0.0	0.0	0	0.0			-1	
1412	12/1/2016	water	1	744	0.0	0.0	0.0	1627	0.0			-1	
1438ГС	12/1/2016	oil	1	744	575.77	855.2	1430.97	0	59.8			-1	
1439	12/1/2016	oil	1	744	469.41	1739.55	2208.96	0	78.7	11.22564219	30-Jul	0	41455.0
1440	12/1/2016	oil	1	744	979.26	460.38	1439.64	0	32.0	31.1199	49.0	1	41432.0
1441	12/1/2016	oil	1	744	1147.64	378.43	1526.07	0	24.8	38.0538	54.0	1	41465.0
1442	12/1/2016	water	1	744	0.0	0.0	0.0	4495	0.0			-1	
1468	12/1/2016	water	1	744	0.0	0.0	0.0	3639	0.0			-1	
1469	12/1/2016	oil	1	744	390.66	1310.12	1700.78	0	77.0	14.0244	52.0	1	41423.0
1470	12/1/2016	oil	1	744	657.68	1549.78	2207.45	0	70.2	27.1788	71.0	1	41377.0
1471	12/1/2016	oil	1	744	308.92	2396.68	2705.6	0	88.6	11.832	80.0	1	41392.0
1472	12/1/2016	water	1	744	0.0	0.0	0.0	1591	0.0			-1	
1499	12/1/2016	oil	1	744	418.24	242.6	660.84	0	36.7	15.2424	24.0	1	41208.0
14Р	12/1/2016	oil	0	0	0.0	0.0	0.0	0	0.0			-1	
1500	12/1/2016	oil	1	744	1133.74	382.23	1515.98	0	25.2	37.584	54.0	1	41306.0
1501	12/1/2016	oil	1	744	1831.62	580.86	2412.48	0	24.1	56.2716	84.0	1	41321.0
1502	12/1/2016	oil	1	743	861.56	2233.74	3095.3	0	72.2	31.32	100.0	1	41263.0
1528	12/1/2016	water	1	744	0.0	0.0	0.0	10111	0.0			-1	
1529	12/1/2016	water	1	744	0.0	0.0	0.0	3528	0.0			-1	
1530	12/1/2016	water	1	744	0.0	0.0	0.0	8951	0.0			-1	
1531	12/1/2016	water	1	744	0.0	0.0	0.0	6886	0.0			-1	
1532БС	12/1/2016	oil	1	744	126.25	831.27	957.52	0	86.8			-1	
1559	12/1/2016	oil	1	744	250.7	216.17	466.87	0	46.3	9.1872	16.0	1	41363.0
1560	12/1/2016	oil	1	744	946.57	304.54	1251.11	0	24.3	33.669	45.0	1	41249.0
1561	12/1/2016	oil	1	744	846.4	280.22	1126.62	0	24.9	30.3195	41.0	1	41100.0
1562	12/1/2016	oil	1	744	1367.4	323.46	1690.86	0	19.1	44.892	60.0	1	41145.0
1589	12/1/2016	water	1	744	0.0	0.0	0.0	1712	0.0			-1	
1590	12/1/2016	oil	1	744	116.92	1864.22	1981.14	0	94.1	5.046	58.0	1	41173.0
1591	12/1/2016	water	1	744	0.0	0.0	0.0	7380	0.0			-1	
1592	12/1/2016	oil	1	744	888.36	599.35	1487.71	0	40.3	30.6153	51.0	1	41162.0
15Р	12/1/2016	oil	1	547	248.75	110.66	359.42	0	30.8			-1	
1614	12/1/2016	oil	1	744	50.35	188.05	238.4	0	78.9	Jan-16	7.0	1	40839.0
